	Description	MMETSP_ID	S1	S2	S3	S4	S5	+N	-N	+P	-P	Control	Up_-N_v_+N	Dn_-N_v_+N	Up_-P_v_+P	Dn_-P_v_+P
Skcos6310	CAMNT_0000271337	MMETSP0013_2-20120614|9038 	3.66899207384	12.6300651122	2.9185283094	3.69904466887	1.62260272617	16.2636793929	1.60896696598	1.88138360175	16.945780869	1.04381573103	0	1	1	0
Skcos6304	CAMNT_0000271419	MMETSP0013_2-20120614|9079 	10.1731143866	69.1004895694	13.0793305718	7.66230681409	14.6034245355	129.623952176	7.72304143669	9.94445618069	125.251423814	14.091512369	0	1	1	0
Skcos6301	CAMNT_0000271399	MMETSP0013_2-20120614|9069 	0.433608154181	9.73918354207	0.432374564356	1.05686990539	0.0	16.5064208764	1.28717357278	0.0	7.61332183967	0.260953932758	0	1	1	0
Skcos630	CAMNT_0000283895	MMETSP0013_2-20120614|15317 	8.10513703585	4.43455619495	12.6469560074	2.90639223983	1.62260272617	6.79676153732	4.50510750474	4.30030537544	19.892873194	9.65529551206	0	1	1	0
Skcos63	CAMNT_0000281355	MMETSP0013_2-20120614|14047 	200.326967232	60.4839784817	84.4211336904	32.4987495908	16.2260272617	42.4797596083	10.9409753686	15.3198379	38.5577912525	22.1810842845	0	1	1	1
Skcos6298	CAMNT_0000271263	MMETSP0013_2-20120614|9001 	6.50412231272	33.7363072552	4.21565200247	2.64217476348	1.13582190832	8.0104689547	0.643586786391	1.07507634386	9.82364108345	1.82667752931	0	1	1	0
Skcos6296	CAMNT_0000272211	MMETSP0013_2-20120614|9475 	0.133417893594	0.785870718092	0.108093641089	0.0	0.162260272617	13.5935230746	0.0	0.268769085965	4.66622951464	0.0	0	1	1	0
Skcos6295	CAMNT_0000272197	MMETSP0013_2-20120614|9468 	18.9786953638	87.4281173878	53.7225396212	4.75591457426	6.8149314499	3042.2790124	16.0896696598	17.4699905877	1098.28307313	32.8801955276	0	1	1	0
Skcos6290	CAMNT_0000271131	MMETSP0013_2-20120614|8935 	105.967161987	194.839804464	77.6112343018	34.8767068779	15.4147258986	103.893354928	28.3178186012	26.0706013386	93.8157723469	43.5793067707	0	1	1	0
Skcos629	CAMNT_0000283145	MMETSP0013_2-20120614|14942 	0.46696262758	13.3036685848	1.40521733416	3.96326214522	1.29808218093	3.64112225214	1.28717357278	0.0	5.64859362298	2.08763146207	0	1	1	0
Skcos6288	CAMNT_0000271087	MMETSP0013_2-20120614|8913 	9.90627859938	34.7747792756	6.05324390098	4.49169709791	0.48678081785	8.9814348886	2.57434714556	1.61261451579	13.2619154627	3.1314471931	0	0	1	0
Skcos6285	CAMNT_0000270441	MMETSP0013_2-20120614|8590 	626.296947005	286.477943556	258.559989485	302.529010418	48.0290406946	67.2393909228	21.2383639509	25.8018322526	83.2553581822	25.5734854103	0	1	1	0
Skcos6282	CAMNT_0000270543	MMETSP0013_2-20120614|8641 	10.0730509664	80.9166171521	5.40468205445	8.19074176679	3.73198627018	12.1370741738	2.57434714556	2.68769085965	17.9281449773	2.34858539483	0	0	1	0
Skcos6277	CAMNT_0000270381	MMETSP0013_2-20120614|8560 	737.767597103	572.787486244	428.915567841	452.86875446	87.620547213	294.202677973	58.8881909548	58.8604298263	199.911096048	51.9298326189	0	1	1	0
Skcos6274	CAMNT_0000270491	MMETSP0013_2-20120614|8615 	15.5431846037	117.992874959	14.8088288292	42.8032311684	6.16589035944	5.34031263647	2.89614053876	2.15015268772	11.297187246	1.56572359655	0	0	1	0
Skcos6273	CAMNT_0000270489	MMETSP0013_2-20120614|8614 	15.5765390771	334.444124171	25.7262865792	24.0437903477	9.57335608439	61.1708538359	10.9409753686	13.9759924702	62.1345298528	7.56766404999	0	1	1	0
Skcos6272	CAMNT_0000270485	MMETSP0013_2-20120614|8612 	11.6740656895	80.5236817931	8.64749128711	8.98339419583	4.21876708803	33.0128417527	10.2973885823	7.25676532105	43.2240207672	13.8305584362	0	1	1	0
Skcos6271	CAMNT_0000270333	MMETSP0013_2-20120614|8536 	202.028045375	67.276146831	84.8535082548	33.8198369725	16.7128080795	43.2079840587	10.6191819755	15.3198379	38.5577912525	21.9201303517	0	1	0	0
Skcos6270	CAMNT_0000270331	MMETSP0013_2-20120614|8535 	5.13658890338	27.1125397742	1.9456855396	3.43482719252	0.48678081785	2.67015631823	1.28717357278	1.07507634386	6.38536670424	1.82667752931	0	0	1	0
Skcos6267	CAMNT_0000269851	MMETSP0013_2-20120614|8295 	97.2282899568	23.4638542973	38.4813362276	1.58530485809	2.43390408925	10.4378837895	1.60896696598	1.61261451579	8.35009492093	5.21907865517	0	0	1	0
Skcos6264	CAMNT_0000268829	MMETSP0013_2-20120614|7784 	15.6098935505	23.9690569018	14.9169224703	6.34121943235	4.21876708803	24.0314068641	6.75766125711	3.22522903158	19.892873194	3.39240112586	0	1	1	0
Skcos6263	CAMNT_0000269607	MMETSP0013_2-20120614|8173 	31.9535855158	103.847202034	30.9147813514	16.3814835336	31.4784928876	68.6958398236	16.7332564462	20.1576814474	216.61128589	22.9639460827	0	1	1	0
Skcos6256	CAMNT_0000268657	MMETSP0013_2-20120614|7698 	3.36880181326	96.3533634004	4.21565200247	5.81278447965	1.13582190832	11.6515912068	7.72304143669	5.37538171929	18.4193270315	4.95812472241	0	0	1	0
Skcos6253	CAMNT_0000268143	MMETSP0013_2-20120614|7441 	8.70551755703	80.4114145476	4.43183928464	8.45495924313	2.43390408925	2.42741483476	1.60896696598	0.268769085965	5.4030025959	0.782861798275	0	0	1	0
Skcos625	CAMNT_0000283419	MMETSP0013_2-20120614|15079 	1.33417893594	11.2547913555	0.540468205445	1.05686990539	0.649041090467	1.45644890085	0.965380179586	0.0	3.43827437921	0.0	0	0	1	0
Skcos6249	CAMNT_0000268229	MMETSP0013_2-20120614|7484 	34.7220068079	89.1963265035	17.4030762153	14.7961786755	7.13945199514	28.1580120832	9.33200840267	8.33184166491	37.08424509	12.7867427052	0	0	1	0
Skcos6241	CAMNT_0000281237	MMETSP0013_2-20120614|13988 	11.1403941151	155.209466823	2.81043466831	3.96326214522	0.9735616357	21.6039920293	0.321793393195	0.537538171929	24.3135116815	0.521907865517	0	1	1	0
Skcos6240	CAMNT_0000281235	MMETSP0013_2-20120614|13987 	3.56892865365	4.85555836536	1.62140461633	5.02013205061	1.13582190832	4.12660521909	0.0	0.268769085965	5.4030025959	0.260953932758	0	0	1	0
Skcos6237	CAMNT_0000281059	MMETSP0013_2-20120614|13899 	3.76905549404	58.0421658934	10.2688959034	8.19074176679	5.19232872374	27.9152705997	8.68842161628	9.94445618069	130.65442641	11.7429269741	0	1	1	0
Skcos623	CAMNT_0000283713	MMETSP0013_2-20120614|15226 	22.2474337568	8.27970935133	24.2129756039	1.32108738174	0.48678081785	46.3636233439	20.9165705577	17.7387596737	50.8373426069	27.4001629396	0	1	1	0
Skcos6225	CAMNT_0000281423	MMETSP0013_2-20120614|14081 	20.3795832465	44.4297623836	17.7273571386	11.6255689593	5.8413698142	10.9233667564	4.82690089793	3.49399811754	24.8046937357	4.95812472241	0	0	1	0
Skcos6218	CAMNT_0000281973	MMETSP0013_2-20120614|14356 	28.9183284366	81.5060201907	8.86367856929	16.3814835336	4.8678081785	25.487855765	7.4012480435	8.06307257894	39.5401553609	9.13338764655	0	1	1	0
Skcos6206	CAMNT_0000286527	MMETSP0013_2-20120614|16633 	2.2347497177	19.8432356318	1.83759189851	2.64217476348	0.9735616357	1.94193186781	0.965380179586	0.0	2.94709232503	1.04381573103	0	0	1	0
Skcos6204	CAMNT_0000286521	MMETSP0013_2-20120614|16630 	128.648203898	25.3443306585	48.5340448489	0.792652429044	1.78486299878	17.7201282937	3.53972732515	4.30030537544	8.59568594802	6.78480225172	0	1	0	0
Skcos6199	CAMNT_0000286513	MMETSP0013_2-20120614|16626 	3.43551076005	30.7331584397	10.91745775	2.11373981078	11.5204793558	191.037547495	4.50510750474	8.86937983684	98.2364108345	6.78480225172	0	1	1	0
Skcos6198	CAMNT_0000286509	MMETSP0013_2-20120614|16624 	177.979470055	5.1081596676	10.2688959034	2.11373981078	3.08294517972	55.8305411994	17.6986366258	20.6952196193	58.4506644465	23.4858539483	0	1	1	0
Skcos6195	CAMNT_0000287019	MMETSP0013_2-20120614|16879 	6.57083125952	21.8921128611	4.75612020791	0.792652429044	4.05650681542	29.1289780171	3.86152071835	2.68769085965	22.3487834648	5.74098652069	0	1	1	0
Skcos6189	CAMNT_0000287011	MMETSP0013_2-20120614|16875 	27.4840860804	157.903880714	41.6160518192	16.6457010099	21.0938354402	25.487855765	5.14869429113	12.3633779544	41.5048835776	10.6991112431	0	1	1	0
Skcos6185	CAMNT_0000286489	MMETSP0013_2-20120614|16614 	5.33671574377	54.589948096	9.62033405691	6.077001956	2.43390408925	8.25321043818	5.14869429113	1.07507634386	13.9986885439	4.69717078965	0	0	1	0
Skcos6180	CAMNT_0000286987	MMETSP0013_2-20120614|16863 	4.13595470142	25.2039966017	1.72949825742	2.64217476348	0.48678081785	2.91289780171	0.643586786391	0.537538171929	5.15741156881	0.782861798275	0	0	1	0
Skcos6174	CAMNT_0000286813	MMETSP0013_2-20120614|16776 	4.93646206299	70.5318969488	8.21511672276	8.45495924313	10.8714382653	122.341707672	3.86152071835	2.68769085965	53.0476618506	4.43621685689	0	1	1	0
Skcos6168	CAMNT_0000286975	MMETSP0013_2-20120614|16857 	2.3014586645	10.6373215056	1.08093641089	0.792652429044	0.48678081785	0.242741483476	0.0	0.0	3.19268335212	1.04381573103	0	0	1	0
Skcos6166	CAMNT_0000287145	MMETSP0013_2-20120614|16942 	0.733798414769	37.0762578071	0.9728427698	8.19074176679	0.649041090467	1.69919038433	0.965380179586	0.806307257894	6.38536670424	0.260953932758	0	0	1	0
Skcos6161	CAMNT_0000286809	MMETSP0013_2-20120614|16774 	114.672679544	847.561569462	201.48654699	86.9275497185	46.568698241	144.673924152	67.8984059642	62.6231970298	217.102467944	66.8042067862	0	0	1	0
Skcos6138	CAMNT_0000286215	MMETSP0013_2-20120614|16477 	68.2432525735	118.357743507	111.120263039	60.2415846073	72.5303418597	64.3264931211	12.8717357278	58.8604298263	196.718412696	35.7506887879	0	1	1	0
Skcos6137	CAMNT_0000286213	MMETSP0013_2-20120614|16476 	12.1743827905	20.8255740294	5.29658841336	2.37795728713	0.9735616357	2.91289780171	3.86152071835	0.806307257894	5.89418465007	1.30476966379	0	0	1	0
Skcos6133	CAMNT_0000286199	MMETSP0013_2-20120614|16469 	6.9043759935	86.4177121788	2.48615374504	22.1942680132	0.9735616357	14.3217475251	4.82690089793	2.68769085965	13.0163244356	3.1314471931	0	0	1	0
Skcos6129	CAMNT_0000285999	MMETSP0013_2-20120614|16369 	10.1397599132	50.6886613169	11.2417386732	6.6054369087	5.35458899635	16.9919038433	5.47048768432	3.22522903158	42.2416566588	3.39240112586	0	0	1	0
Skcos6114	CAMNT_0000285111	MMETSP0013_2-20120614|15925 	4.00253680783	0.392935359046	15.0250161114	4.75591457426	0.649041090467	1.45644890085	8.04483482989	4.5690744614	18.9105090856	3.65335505862	0	0	1	0
Skcos6107	CAMNT_0000285051	MMETSP0013_2-20120614|15895 	39.1581517699	12.1809961304	79.9892944058	12.154003912	20.9315751676	9.95240082251	35.3972732515	33.8649048316	21.6120103836	29.2268404689	1	0	0	0
Skcos6103	CAMNT_0000283925	MMETSP0013_2-20120614|15332 	5.83703284475	78.2783368843	4.64802656682	7.39808933774	0.811301363084	10.195142306	5.47048768432	4.83784354736	17.191371896	3.65335505862	0	0	1	0
Skcos6098	CAMNT_0000284375	MMETSP0013_2-20120614|15557 	22.3808516504	47.2925771423	15.0250161114	8.98339419583	2.10938354402	9.95240082251	3.21793393195	1.88138360175	11.5427782731	3.91430899138	0	0	1	0
Skcos6096	CAMNT_0000284371	MMETSP0013_2-20120614|15555 	4.53620838221	43.7280920996	2.70234102722	5.81278447965	3.08294517972	8.49595192165	2.89614053876	1.61261451579	17.191371896	5.48003258793	0	0	1	0
Skcos6094	CAMNT_0000283831	MMETSP0013_2-20120614|15285 	4.46949943541	152.45891931	12.9712369307	29.3281398746	4.38102736065	6.79676153732	4.82690089793	2.41892177368	22.839965519	4.95812472241	0	0	1	0
Skcos6090	CAMNT_0000284191	MMETSP0013_2-20120614|15465 	3.33544733986	35.9255185414	3.45899651484	4.49169709791	1.29808218093	6.55402005384	1.60896696598	1.07507634386	7.61332183967	1.82667752931	0	0	1	0
Skcos6089	CAMNT_0000284189	MMETSP0013_2-20120614|15464 	5.87038731815	1.3472069453	4.64802656682	12.154003912	2.10938354402	8.25321043818	0.643586786391	1.34384542982	6.13977567716	0.521907865517	0	1	0	0
Skcos6088	CAMNT_0000284013	MMETSP0013_2-20120614|15376 	183.249476852	519.741212773	161.924274351	69.2249788032	18.4976710783	130.109435143	91.0675302743	66.6547333192	230.855565461	89.5071989361	0	0	1	0
Skcos6081	CAMNT_0000280891	MMETSP0013_2-20120614|13815 	0.0333544733986	2.86281475876	0.216187282178	0.528434952696	0.0	0.0	0.0	0.0	3.92945643338	1.04381573103	0	0	1	0
Skcos6080	CAMNT_0000280889	MMETSP0013_2-20120614|13814 	2.03462287731	14.9596104551	0.648561846533	0.792652429044	0.162260272617	0.485482966951	0.0	0.0	5.64859362298	0.782861798275	0	0	1	0
Skcos6078	CAMNT_0000280983	MMETSP0013_2-20120614|13861 	283.246188101	191.640187969	389.461388843	153.774571234	74.3152048585	146.130373052	126.464803526	118.52716691	386.805867661	158.92094505	0	0	1	0
Skcos607	CAMNT_0000282357	MMETSP0013_2-20120614|14548 	2.4015220847	45.4682344039	2.16187282178	4.75591457426	1.62260272617	8.73869340513	1.60896696598	1.34384542982	8.8412769751	0.521907865517	0	0	1	0
Skcos6069	CAMNT_0000280181	MMETSP0013_2-20120614|13460 	6.20393205213	27.0844729628	3.56709015593	3.69904466887	2.27164381663	6.79676153732	0.643586786391	0.537538171929	4.91182054172	0.521907865517	0	0	1	0
Skcos606	CAMNT_0000282905	MMETSP0013_2-20120614|14822 	42.760434897	137.80804378	50.9121049529	6.077001956	14.7656848081	118.215102453	46.3382486201	32.7898284877	101.18350316	36.5335505862	0	1	1	0
Skcos6058	CAMNT_0000280659	MMETSP0013_2-20120614|13699 	55.3350713682	386.00285664	42.1565200247	51.7866253642	13.3053423546	44.6644329595	14.1589093006	8.60061075087	49.6093874714	12.2648348396	0	1	1	0
Skcos6053	CAMNT_0000279561	MMETSP0013_2-20120614|13150 	7.40469309448	33.9608417461	10.2688959034	6.34121943235	10.7091779927	16.2636793929	5.14869429113	3.22522903158	24.0679206545	4.95812472241	0	0	1	0
Skcos6048	CAMNT_0000278865	MMETSP0013_2-20120614|12802 	6.70424915311	108.197557794	2.48615374504	5.02013205061	0.811301363084	5.34031263647	3.21793393195	2.68769085965	11.297187246	1.82667752931	0	0	1	0
Skcos6041	CAMNT_0000278745	MMETSP0013_2-20120614|12742 	23.7817395332	10.4127870147	3.78327743811	1.05686990539	1.13582190832	1.45644890085	0.321793393195	0.0	5.89418465007	1.04381573103	0	0	1	0
Skcos6038	CAMNT_0000279347	MMETSP0013_2-20120614|13043 	1.36753340934	16.8400868163	3.13471559158	3.96326214522	3.24520545233	10.195142306	0.643586786391	0.537538171929	9.33245902928	0.521907865517	0	1	1	0
Skcos6036	CAMNT_0000279345	MMETSP0013_2-20120614|13042 	7.97171914226	31.0418933646	5.94515025989	7.92652429044	1.78486299878	7.52498598775	4.82690089793	2.15015268772	9.82364108345	2.08763146207	0	0	1	0
Skcos6035	CAMNT_0000278093	MMETSP0013_2-20120614|12416 	56.3357055702	6.20276531066	17.9435444208	10.0402641012	7.95075335822	9.70965933903	4.18331411154	1.88138360175	41.0137015234	4.95812472241	0	0	1	0
Skcos6034	CAMNT_0000278091	MMETSP0013_2-20120614|12415 	5.27000679697	43.0264218155	4.10755836138	8.98339419583	1.9471232714	2.67015631823	0.0	0.0	7.1221397855	1.30476966379	0	0	1	0
Skcos6032	CAMNT_0000277881	MMETSP0013_2-20120614|12310 	43.9278414659	94.7535551528	38.8056171509	29.0639223983	22.3919176211	20.8757675789	13.193529121	9.1381489228	63.1168939612	6.00194045344	0	0	1	0
Skcos6024	CAMNT_0000277985	MMETSP0013_2-20120614|12362 	0.93392525516	44.9910986108	1.72949825742	6.86965438505	1.62260272617	7.76772747122	2.57434714556	1.07507634386	8.8412769751	1.30476966379	0	0	1	0
Skcos6020	CAMNT_0000278523	MMETSP0013_2-20120614|12631 	624.495805441	599.759691961	81.3945117399	347.181763921	4.70554790589	14.807230492	10.2973885823	6.45045806315	32.6636066025	7.82861798275	0	0	1	0
Skcos602	CAMNT_0000282731	MMETSP0013_2-20120614|14735 	39.2582151901	249.738487485	32.860466891	19.8163107261	14.2789039903	27.1870461493	7.4012480435	8.06307257894	9.08686800219	7.30671011724	0	1	1	0
Skcos6012	CAMNT_0000277541	MMETSP0013_2-20120614|12140 	5.87038731815	48.4152495968	2.26996646287	8.45495924313	2.10938354402	4.85482966951	3.21793393195	1.34384542982	8.10450389385	2.08763146207	0	0	1	0
Skcos601	CAMNT_0000282729	MMETSP0013_2-20120614|14734 	1.00063420196	21.9201796725	0.864749128711	1.58530485809	0.48678081785	8.49595192165	1.60896696598	1.34384542982	8.35009492093	0.521907865517	0	0	1	0
Skcos6003	CAMNT_0000277557	MMETSP0013_2-20120614|12148 	1.63436919653	10.2724529579	0.9728427698	2.64217476348	0.162260272617	1.69919038433	0.0	0.0	2.94709232503	1.04381573103	0	0	1	0
Skcos6000	CAMNT_0000276939	MMETSP0013_2-20120614|11839 	65.0078686538	14.9596104551	35.9951824826	72.6598059957	14.2789039903	30.8281684014	3.53972732515	5.64415080526	27.2606040066	4.95812472241	0	1	1	0
Skcos6	CAMNT_0000277901	MMETSP0013_2-20120614|12320 	10.5733680673	56.0494222868	6.48561846533	11.6255689593	3.73198627018	23.7886653806	3.86152071835	2.68769085965	18.6649180586	4.17526292413	1	1	1	1
Skcos5996	CAMNT_0000276727	MMETSP0013_2-20120614|11733 	3.80240996744	36.5429883913	2.37806010396	1.32108738174	0.162260272617	20.6330260954	2.57434714556	1.61261451579	17.6825539502	0.521907865517	0	1	1	0
Skcos5991	CAMNT_0000277213	MMETSP0013_2-20120614|11976 	3.10196602607	9.03751325806	4.64802656682	1.84952233444	2.59616436187	6.06853708689	2.57434714556	4.03153628947	15.4722347064	2.87049326034	0	0	1	0
Skcos5987	CAMNT_0000276143	MMETSP0013_2-20120614|11441 	920.316630013	1055.64890889	114.687353195	600.037888786	3.24520545233	19.1765771946	17.0550498394	15.051068814	40.2769284421	12.7867427052	0	0	1	0
Skcos5986	CAMNT_0000276149	MMETSP0013_2-20120614|11444 	2.90183918568	78.1099360161	0.9728427698	2.11373981078	3.40746572495	9.70965933903	0.321793393195	0.0	2.21031924378	0.260953932758	0	1	0	0
Skcos5977	CAMNT_0000276369	MMETSP0013_2-20120614|11554 	1.43424235614	59.6981077636	0.9728427698	3.43482719252	0.162260272617	2.91289780171	0.321793393195	0.0	3.92945643338	1.82667752931	0	0	1	0
Skcos5970	CAMNT_0000276013	MMETSP0013_2-20120614|11376 	1.96791393052	4.85555836536	3.67518379702	0.792652429044	0.162260272617	11.6515912068	0.643586786391	2.68769085965	17.4369629231	4.17526292413	0	1	1	0
Skcos5969	CAMNT_0000276005	MMETSP0013_2-20120614|11372 	8.83893545062	88.1297876718	3.13471559158	16.1172660572	3.24520545233	14.5644890085	11.2627687618	5.91291989122	21.1208283294	7.56766404999	0	0	1	0
Skcos5965	CAMNT_0000275991	MMETSP0013_2-20120614|11365 	6.77095809991	35.4483827482	5.18849477227	8.98339419583	1.29808218093	19.6620601615	5.14869429113	3.22522903158	21.8576014107	11.2210191086	0	1	1	0
Skcos596	CAMNT_0000282655	MMETSP0013_2-20120614|14697 	1.80114156352	8.50424384221	0.9728427698	7.13387186139	0.9735616357	0.970965933903	0.321793393195	0.268769085965	4.17504746047	0.0	0	1	1	0
Skcos5958	CAMNT_0000275305	MMETSP0013_2-20120614|11022 	16.3103374919	11.6477267146	11.4579259554	6.6054369087	1.46034245355	14.5644890085	6.11407447071	4.30030537544	15.2266436793	10.6991112431	0	0	1	0
Skcos5956	CAMNT_0000275195	MMETSP0013_2-20120614|10967 	1.16740656895	22.1727809747	1.9456855396	1.05686990539	0.162260272617	6.31127857037	0.321793393195	0.0	12.5251423814	0.521907865517	0	0	1	0
Skcos5954	CAMNT_0000274929	MMETSP0013_2-20120614|10834 	13.0415990988	102.219326975	18.1597317029	13.2108738174	3.08294517972	21.1185090624	7.72304143669	4.83784354736	34.137152765	4.43621685689	0	0	1	0
Skcos5952	CAMNT_0000274569	MMETSP0013_2-20120614|10654 	4.602917329	28.9088157012	3.78327743811	4.49169709791	3.08294517972	13.5935230746	1.60896696598	1.61261451579	5.64859362298	1.04381573103	0	1	0	0
Skcos5951	CAMNT_0000274079	MMETSP0013_2-20120614|10409 	32.0202944626	95.4271586255	16.7545143688	14.5319611991	10.2223971749	32.5273587857	7.4012480435	5.64415080526	38.5577912525	6.52384831896	0	1	1	0
Skcos5945	CAMNT_0000274341	MMETSP0013_2-20120614|10540 	41.3595470142	68.1462179831	8.7555849282	11.6255689593	3.40746572495	16.9919038433	4.18331411154	1.88138360175	9.33245902928	1.56572359655	0	1	1	0
Skcos5944	CAMNT_0000273987	MMETSP0013_2-20120614|10363 	13.3751438328	79.6255438296	9.07986585147	7.66230681409	5.03006845112	13.1080401077	5.47048768432	6.18168897719	22.3487834648	4.95812472241	0	0	1	0
Skcos5942	CAMNT_0000274423	MMETSP0013_2-20120614|10581 	35.9894767971	5.72562951753	8.64749128711	14.5319611991	5.03006845112	9.70965933903	3.21793393195	1.61261451579	10.8060051918	1.56572359655	0	0	1	0
Skcos5941	CAMNT_0000274421	MMETSP0013_2-20120614|10580 	2.16804077091	12.1809961304	28.6448148886	31.7060971617	16.3882875343	60.4426293855	19.3076035917	19.8889123614	91.3598620761	13.0476966379	0	1	1	0
Skcos5940	CAMNT_0000274419	MMETSP0013_2-20120614|10579 	12.9415356786	112.519846744	8.43130400493	19.8163107261	7.30171226775	22.5749579632	6.75766125711	5.64415080526	37.5754271442	4.43621685689	0	0	1	0
Skcos594	CAMNT_0000282459	MMETSP0013_2-20120614|14599 	5.53684258416	30.7892920624	2.81043466831	5.02013205061	0.162260272617	9.46691785555	0.965380179586	1.61261451579	8.8412769751	1.30476966379	0	1	1	0
Skcos5933	CAMNT_0000274347	MMETSP0013_2-20120614|10543 	13.9421698806	17.8504920252	14.1602669826	3.43482719252	0.811301363084	3.64112225214	1.93076035917	0.268769085965	6.38536670424	1.30476966379	0	0	1	0
Skcos5931	CAMNT_0000274357	MMETSP0013_2-20120614|10548 	4.83639864279	118.470010752	6.91799302969	25.1006602531	1.29808218093	5.58305411994	5.14869429113	2.15015268772	11.0515962189	0.782861798275	0	0	1	0
Skcos5930	CAMNT_0000273699	MMETSP0013_2-20120614|10219 	25.1159184691	145.610617338	21.0782600123	17.1741359626	7.30171226775	41.7515351578	12.8717357278	13.9759924702	40.7681104963	8.87243371379	0	1	1	0
Skcos593	CAMNT_0000282457	MMETSP0013_2-20120614|14598 	1.13405209555	10.1601857125	1.08093641089	1.05686990539	0.649041090467	3.64112225214	0.643586786391	0.0	5.4030025959	0.0	0	1	1	0
Skcos5927	CAMNT_0000273693	MMETSP0013_2-20120614|10216 	9.3392525516	14.9315436438	8.10702308167	1.58530485809	2.59616436187	63.3555271872	9.01021500947	7.25676532105	49.8549784985	9.91624944482	0	1	1	0
Skcos5926	CAMNT_0000273559	MMETSP0013_2-20120614|10149 	474.834283302	94.3886866051	197.270894987	57.0709748911	36.1840407935	66.0256835054	36.0408600379	26.3393704245	67.7831234758	34.7068730569	0	0	1	0
Skcos5925	CAMNT_0000273553	MMETSP0013_2-20120614|10146 	7.30462967429	52.1200686963	18.267825344	10.3044815776	5.03006845112	41.9942766413	16.7332564462	10.7507634386	40.7681104963	19.5715449569	0	0	1	0
Skcos5923	CAMNT_0000273547	MMETSP0013_2-20120614|10143 	3.73570102064	98.2338397615	2.05377918069	10.3044815776	2.10938354402	17.9628697772	1.93076035917	1.34384542982	11.297187246	2.08763146207	0	1	1	0
Skcos592	CAMNT_0000281739	MMETSP0013_2-20120614|14239 	118.375026092	173.424827396	15.4573906757	37.7830991178	2.75842463448	6.55402005384	5.14869429113	3.22522903158	12.7707334085	5.74098652069	0	1	1	0
Skcos5918	CAMNT_0000272819	MMETSP0013_2-20120614|9779 	9.80621517918	121.557360002	8.32321036385	9.51182914852	5.35458899635	8.25321043818	0.321793393195	0.0	5.89418465007	1.30476966379	0	1	1	0
Skcos5917	CAMNT_0000273309	MMETSP0013_2-20120614|10024 	68.5434428341	224.085421902	46.4802656682	16.9099184863	9.735616357	65.0547175715	26.7088516352	22.576603221	81.5362209926	22.70299215	0	0	1	0
Skcos5915	CAMNT_0000273293	MMETSP0013_2-20120614|10016 	130.682826776	397.818984223	98.1490261087	42.0105787393	30.8294517972	135.207006296	50.5215627317	39.7778247228	149.564935496	47.2326618293	0	1	1	0
Skcos5909	CAMNT_0000274225	MMETSP0013_2-20120614|10482 	5.06987995658	20.6010395386	3.99946472029	1.32108738174	1.9471232714	58.0152145507	1.28717357278	2.68769085965	26.7694219524	1.56572359655	0	1	1	0
Skcos5905	CAMNT_0000274189	MMETSP0013_2-20120614|10464 	184.11669316	266.157572131	22.9158519108	61.8268894654	4.70554790589	14.0790060416	8.68842161628	4.83784354736	16.945780869	7.04575618448	0	0	1	0
Skcos5904	CAMNT_0000274207	MMETSP0013_2-20120614|10473 	2.00126840391	123.409769552	9.728427698	2.11373981078	6.32815063205	191.037547495	23.1691243101	13.7072233842	159.388576579	29.4877944017	0	1	1	0
Skcos5903	CAMNT_0000274197	MMETSP0013_2-20120614|10468 	86.1212503151	82.0392896066	161.275712505	59.7131496546	113.744451104	40.7805692239	36.6844468243	73.9114986403	265.48390028	54.017464081	0	0	1	0
Skcos5899	CAMNT_0000273125	MMETSP0013_2-20120614|9932 	16.5104643323	220.857738595	33.7252160197	26.1575301584	8.43753417607	32.2846173023	15.1242894802	13.4384542982	62.3801208799	6.00194045344	0	0	1	0
Skcos5895	CAMNT_0000272305	MMETSP0013_2-20120614|9522 	4.7029807492	34.5221779733	4.864213849	3.69904466887	1.29808218093	5.09757115299	0.965380179586	0.268769085965	4.91182054172	1.56572359655	0	0	1	0
Skcos5889	CAMNT_0000273223	MMETSP0013_2-20120614|9981 	19.6124303584	185.353222224	19.1325744727	21.9300505369	4.70554790589	19.6620601615	7.0794546503	6.45045806315	29.4709232503	5.74098652069	0	0	1	0
Skcos5888	CAMNT_0000273219	MMETSP0013_2-20120614|9979 	20.1127474593	68.4268860967	22.8077582698	13.7393087701	13.3053423546	38.3531543892	7.0794546503	12.9009161263	55.9947541757	10.1772033776	0	1	1	0
Skcos5887	CAMNT_0000272551	MMETSP0013_2-20120614|9645 	31.0530147341	121.136357832	8.32321036385	20.0805282024	6.00363008682	23.7886653806	8.68842161628	9.40691800877	35.8562899546	10.4381573103	0	0	1	0
Skcos5886	CAMNT_0000272549	MMETSP0013_2-20120614|9644 	18.911986417	91.2452037328	18.9163871906	20.0805282024	5.67910954159	13.5935230746	5.47048768432	4.5690744614	30.2076963316	4.69717078965	0	0	1	0
Skcos5881	CAMNT_0000271751	MMETSP0013_2-20120614|9245 	1.83449603692	50.6044608829	5.18849477227	11.0971340066	2.9206849071	15.5354549424	2.89614053876	0.537538171929	11.7883693001	2.08763146207	0	1	1	0
Skcos5880	CAMNT_0000271747	MMETSP0013_2-20120614|9243 	26.7169331923	330.402503335	26.2667547846	42.2747962157	14.2789039903	18.9338357111	4.82690089793	6.71922714912	5.89418465007	6.52384831896	0	1	0	0
