	KEGG
Throt8836	K03283
Throt8848	K00759
Throt8852	K02717
Throt8865	K09391
Throt8873	K03364
Throt8886	K14568
Throt8892	K10733
Throt8895	K14767
Throt8913	K01517
Throt8919	K00029
Throt8936	K10685
Throt8937	K10685
Throt8939	K01873
Throt8966	K10144
Throt8969	K11583
Throt8972	K00326
Throt8973	K14455
Throt8978	K01008
Throt8979	K01008
Throt8984	K04082
Throt8985	K03305
Throt9031	K01188
Throt9035	K03243
Throt9041	K10848
Throt9043	K00472
Throt9054	K07375
Throt9063	K07515
Throt9067	K00111
Throt9074	K14848
Throt9076	K13941
Throt9102	K00078
Throt9104	K00999
Throt9108	K10523
Throt9112	K14809
Throt9114	K08956
Throt9118	K16302
Throt9119	K01078
Throt9121	K00962
Throt9122	K03013
Throt9127	K01529
Throt9132	K01869
Throt9140	K17424
Throt9141	K17424
Throt9144	K08142
Throt9146	K01638
Throt9147	K01638
Throt9155	K06875
Throt9157	K02325
Throt9159	K13412
Throt9160	K03841
Throt9165	K03017
Throt9179	K17805
Throt9189	K01408
Throt9197	K03177
Throt9200	K11135
Throt9202	K03025
Throt9205	K02543
Throt9207	K06640
Throt9209	K12627
Throt9213	K14824
Throt9216	K06867
Throt9217	K00565
Throt9222	K00939
Throt9226	K14560
Throt9249	K15104
Throt9272	K08490
Throt9276	K01921
Throt9291	K11294
Throt9312	K03321
Throt9348	K05863
Throt9350	K14843
Throt9352	K17553
Throt9360	K16302
Throt9364	K06671
Throt9367	K00228
Throt9376	K17601
Throt9394	K11498
Throt9405	K14835
Throt9414	K07112
Throt9422	K00753
Throt9446	K17292
Throt9447	K09550
Throt9456	K16833
Throt9457	K16833
Throt9463	K09935
Throt9468	K02221
Throt9470	K00799
Throt9471	K00799
Throt9477	K12598
Throt9478	K15634
Throt9479	K00761
Throt9480	K03667
Throt9491	K04523
Throt9501	K12872
Throt9513	K01078
Throt9519	K02553
Throt9529	K08489
Throt9565	K02327
Throt9566	K10603
Throt9572	K01870
Throt9576	K11649
Throt9583	K01025
Throt9588	K00927
Throt9593	K10756
Throt9615	K06067
Throt9630	K03531
Throt9637	K10842
Throt9639	K10884
Throt9640	K07555
Throt9656	K02921
Throt9668	K07002
Throt9673	K01784
Throt9675	K01001
Throt9680	K11251
Throt9681	K11251
Throt9685	K01758
Throt9688	K01881
Throt9690	K00766
Throt9696	K01770
Throt9697	K01770
Throt9698	K12625
Throt9703	K00627
Throt9708	K17943
Throt9710	K08790
Throt9711	K01490
Throt9716	K04854
Throt9724	K02988
Throt9725	K14772
Throt9726	K14772
Throt9728	K13342
Throt9729	K04457
Throt9730	K04457
Throt9747	K02918
Throt9756	K15263
Throt9770	K15507
Throt9776	K02575
Throt9779	K00940
Throt9780	K00940
Throt9784	K15296
Throt9790	K03283
Throt9801	K11518
Throt9804	K07556
Throt9824	K12621
Throt9825	K14721
Throt9830	K11275
Throt9831	K11275
Throt9853	K02974
Throt9857	K15272
Throt9861	K06883
Throt9867	K03006
Throt9873	K12180
Throt9884	K09522
Throt9890	K14572
Throt9892	K00472
Throt9908	K01958
Throt9920	K09499
Throt9931	K07252
Throt9941	K10389
Throt9942	K03245
Throt9953	K01915
Throt9955	K16055
Throt9960	K08869
Throt9961	K09611
Throt9982	K00991
Throt9983	K00991
Throt9995	K00939
Throt9998	K08343
Throt10013	K14773
Throt10040	K00850
Throt10043	K06942
Throt10051	K12844
Throt10088	K06972
Throt10108	K09488
Throt10109	K01247
Throt10113	K13649
Throt10114	K11253
Throt10115	K01920
Throt10116	K14815
Throt10119	K02873
Throt10120	K02922
Throt10122	K01265
Throt10137	K12829
Throt10140	K15272
Throt10141	K12501
Throt10142	K14857
Throt10144	K00558
Throt10149	K04634
Throt10154	K14566
Throt10155	K09493
Throt10158	K09578
Throt10167	K14842
Throt10169	K03164
Throt10179	K01922
Throt10187	K11684
Throt10193	K07304
Throt10199	K08867
Throt10200	K08867
Throt10204	K02712
Throt10206	K03327
Throt10212	K02537
Throt10224	K15176
Throt10251	K11884
Throt10261	K00001
Throt10262	K14777
Throt10281	K04534
Throt10285	K10686
Throt10292	K08592
Throt10306	K03696
Throt10316	K14808
Throt10326	K01069
Throt10327	K18183
Throt10331	K04797
Throt10332	K07890
Throt10334	K03626
Throt10335	K10415
Throt10336	K10415
Throt10345	K14298
Throt10358	K08908
Throt10363	K15424
Throt10364	K02997
Throt10375	K02480
Throt10378	K03596
Throt10385	K03260
Throt10386	K12832
Throt10392	K01657
Throt10394	K00847
Throt10395	K13800
Throt10398	K02469
Throt10400	K03762
Throt10401	K01724
Throt10403	K14617
Throt10405	K01759
Throt10406	K01759
Throt10414	K15272
Throt10426	K14806
Throt10431	K04567
Throt10439	K08903
Throt10444	K08576
Throt10449	K00472
Throt10458	K14709
Throt10461	K12736
Throt10493	K05292
Throt10503	K10610
Throt10512	K14785
Throt10527	K01259
Throt10535	K00789
Throt10536	K02901
Throt10542	K13535
Throt10550	K18192
Throt10556	K11314
Throt10564	K03011
Throt10576	K02542
Throt10577	K02542
Throt10582	K03680
Throt10596	K05610
Throt10597	K11412
Throt10611	K06980
Throt10629	K05766
Throt10631	K05850
Throt10637	K00226
Throt10651	K09578
Throt10671	K12618
Throt10695	K02925
Throt10700	K05917
Throt10704	K11722
Throt10709	K14800
Throt10718	K11294
Throt10720	K11275
Throt10726	K15272
Throt10752	K03263
Throt10753	K10591
Throt10755	K08827
Throt10761	K00859
Throt10770	K06675
Throt10775	K04563
Throt10781	K14326
Throt10791	K14550
Throt10808	K02900
Throt10810	K00559
Throt10825	K03809
Throt10829	K17732
Throt10830	K01423
Throt10831	K13253
Throt10843	K09966
Throt10845	K01756
Throt10847	K02898
Throt10858	K00814
Throt10860	K02978
Throt10862	K11838
Throt10863	K02976
Throt10864	K01288
Throt10869	K02920
Throt10878	K03125
Throt10882	K01950
Throt10886	K03841
Throt10891	K15109
Throt10915	K07178
Throt10926	K11072
Throt10929	K01057
Throt10933	K13171
Throt10942	K00901
Throt10949	K13100
Throt10950	K14407
Throt10956	K03676
Throt10979	K09699
Throt10986	K04499
Throt10988	K10583
Throt10995	K16535
Throt11007	K10696
Throt11008	K10696
Throt11023	K02144
Throt11024	K02144
Throt11030	K12857
Throt11042	K06641
Throt11049	K15287
Throt11062	K12837
Throt11064	K14301
Throt11065	K13431
Throt11077	K14299
Throt11079	K11088
Throt11093	K00567
Throt11096	K02335
Throt11100	K09420
Throt11128	K09833
Throt11130	K15332
Throt11134	K03018
Throt11139	K12616
Throt11151	K14950
Throt11153	K03517
Throt11154	K02202
Throt11164	K01759
Throt11170	K01892
Throt11171	K01892
Throt11177	K03008
Throt11181	K05312
Throt11182	K01663
Throt11184	K03564
Throt11186	K02927
Throt11195	K00464
Throt11196	K15544
Throt11202	K02885
Throt11205	K14326
Throt11213	K11364
Throt11219	K02433
Throt11232	K03027
Throt11233	K01586
Throt11245	K01230
Throt11261	K02449
Throt11273	K07359
Throt11296	K00815
Throt11297	K00670
Throt11308	K05016
Throt11314	K10579
Throt11330	K10591
Throt11331	K14571
Throt11333	K03115
Throt11348	K10257
Throt11355	K03978
Throt11356	K02938
Throt11357	K17263
Throt11359	K13606
Throt11377	K03671
Throt11382	K00485
Throt11383	K12817
Throt11396	K10755
Throt11408	K01101
Throt11411	K01312
Throt11418	K10534
Throt11424	K09497
Throt11437	K15498
Throt11439	K02213
Throt11440	K02213
Throt11443	K13750
Throt11450	K13176
Throt11456	K14411
Throt11469	K02949
Throt11491	K14559
Throt11496	K15634
Throt11499	K02953
Throt11512	K00033
Throt11520	K11252
Throt11523	K00794
Throt11524	K00794
Throt11527	K01537
Throt11537	K00898
Throt11542	K00281
Throt11549	K11407
Throt11550	K00441
Throt11567	K10753
Throt11578	K15196
Throt11592	K16055
Throt11609	K11088
Throt11610	K11088
Throt11615	K07565
Throt11616	K02998
Throt11618	K08081
Throt11626	K09667
Throt11650	K14026
Throt11660	K11548
Throt11671	K06027
Throt11690	K06631
Throt11692	K11827
Throt11693	K14561
Throt11694	K03841
Throt11699	K01886
Throt11700	K01886
Throt11705	K00943
Throt11710	K13754
Throt11714	K00793
Throt11715	K14765
Throt11716	K11135
Throt11730	K14855
Throt11736	K11170
Throt11749	K14018
Throt11751	K11839
Throt11755	K00605
Throt11756	K01090
Throt11759	K02971
Throt11760	K13179
Throt11777	K11341
Throt11784	K01358
Throt11797	K00939
Throt11799	K00640
Throt11820	K01251
Throt11833	K01007
Throt11834	K12572
Throt11840	K05657
Throt11842	K09549
Throt11851	K02957
Throt11852	K11927
Throt11856	K10589
Throt11865	K14844
Throt11873	K01952
Throt11874	K13095
Throt11875	K06676
Throt11880	K13025
Throt11906	K12486
Throt11925	K04083
Throt11941	K01895
Throt11955	K03426
Throt11956	K12306
Throt11993	K03327
Throt11994	K10739
Throt11998	K11493
Throt12001	K13807
Throt12003	K06969
Throt12008	K10808
Throt12013	K15004
Throt12024	K04608
Throt12038	K00058
Throt12044	K08730
Throt12046	K13127
Throt12067	K00262
Throt12073	K03681
Throt12082	K14306
Throt12086	K03665
Throt12090	K03372
Throt12096	K06949
Throt12097	K02875
Throt12103	K11308
Throt12104	K07809
Throt12110	K03809
Throt12119	K10735
Throt12143	K14841
Throt12146	K01551
Throt12151	K00914
Throt12175	K02684
Throt12176	K12585
Throt12215	K02880
Throt12218	K00816
Throt12221	K03320
Throt12222	K03320
Throt12224	K02868
Throt12229	K00049
Throt12236	K14788
Throt12241	K03773
Throt12243	K00624
Throt12246	K08568
Throt12254	K12176
Throt12261	K11984
Throt12273	K03635
Throt12275	K14855
Throt12276	K11294
Throt12296	K02866
Throt12300	K00327
Throt12304	K01354
Throt12306	K17790
Throt12313	K12571
Throt12314	K12571
Throt12315	K03553
Throt12323	K11836
Throt12328	K01092
Throt12332	K01934
Throt12348	K04615
Throt12360	K09838
Throt12371	K02328
Throt12375	K07561
Throt12385	K01897
Throt12395	K03267
Throt12402	K02947
Throt12404	K02366
Throt12406	K00232
Throt12414	K02087
Throt12415	K02087
Throt12432	K02320
Throt12433	K02336
Throt12435	K03004
Throt12446	K15436
Throt12447	K15436
Throt12450	K16185
Throt12458	K00993
Throt12462	K14832
Throt12463	K09567
Throt12465	K14403
Throt12466	K03234
Throt12473	K01872
Throt12480	K00545
Throt12486	K03320
Throt12500	K05941
Throt12507	K16810
Throt12508	K03676
Throt12510	K17839
Throt12522	K01409
Throt12528	K08292
Throt12529	K00967
Throt12530	K00967
Throt12541	K00615
Throt12555	K05662
Throt12556	K11072
Throt12558	K00784
Throt12561	K00558
Throt12565	K03357
Throt12567	K13412
Throt12571	K03885
Throt12580	K14209
Throt12609	K14682
Throt12616	K00698
Throt12621	K17796
Throt12624	K02209
Throt12630	K06965
Throt12631	K04640
Throt12632	K06669
Throt12645	K02325
Throt12646	K08568
Throt12647	K02871
Throt12649	K06674
Throt12652	K06693
Throt12653	K06693
Throt12695	K14548
Throt12697	K03178
Throt12699	K01611
Throt12700	K01611
Throt12718	K14191
Throt12720	K17576
Throt12723	K09500
Throt12726	K01951
Throt12727	K01951
Throt12730	K15078
Throt12731	K09142
Throt12737	K03015
Throt12739	K00225
Throt12745	K11165
Throt12746	K03671
Throt12749	K10393
Throt12758	K02293
Throt12763	K01897
Throt12764	K14553
Throt12770	K12400
Throt12773	K12400
Throt12783	K02936
Throt12784	K00604
Throt12786	K00641
Throt12787	K11491
Throt12788	K11491
Throt12791	K16578
Throt12793	K03715
Throt12808	K03107
Throt12853	K03255
Throt12854	K06639
Throt12871	K02516
Throt12872	K02516
Throt12874	K02516
Throt12875	K10249
Throt12878	K14292
Throt12886	K03231
Throt12887	K10661
Throt12890	K02256
Throt12902	K01836
Throt12926	K09527
Throt12929	K03849
Throt12946	K06997
Throt12947	K06997
Throt12961	K14962
Throt12971	K11253
Throt12972	K11253
Throt12986	K10752
Throt12994	K07019
Throt13015	K12619
Throt13026	K06072
Throt13028	K13076
Throt13035	K02966
Throt13050	K00930
Throt13055	K11863
Throt13072	K09858
Throt13074	K08716
Throt13076	K11253
Throt13084	K15445
Throt13085	K15445
Throt13093	K06158
Throt13106	K00586
Throt13118	K15362
Throt13122	K09838
Throt13123	K01269
Throt13129	K15637
Throt13134	K05522
Throt13154	K00327
Throt13158	K07095
Throt13168	K08678
Throt13176	K10901
Throt13178	K02989
Throt13187	K15423
Throt13189	K00471
Throt13194	K00559
Throt13202	K00939
Throt13211	K11658
Throt13213	K01595
Throt13229	K14535
Throt13238	K15335
Throt13247	K17550
Throt13248	K03106
Throt13249	K01230
Throt13257	K03007
Throt13259	K14769
Throt13299	K00654
Throt13323	K04505
Throt13327	K02480
Throt13339	K15687
Throt13340	K15687
Throt13344	K07015
Throt13348	K08336
Throt13357	K18172
Throt13358	K08852
Throt13366	K00799
Throt13392	K03316
Throt13398	K17491
Throt13409	K17808
Throt13425	K13248
Throt13426	K05543
Throt13436	K12849
Throt13449	K13238
Throt13460	K01190
Throt13465	K14455
Throt13483	K04040
Throt13512	K01148
Throt13516	K02893
Throt13518	K02369
Throt13526	K06628
Throt13531	K12586
Throt13556	K12878
Throt13559	K12830
Throt13561	K02331
Throt13564	K10878
Throt13565	K10878
Throt13567	K11254
Throt13571	K12847
Throt13573	K00600
Throt13574	K01937
Throt13584	K08818
Throt13586	K00318
Throt13594	K09478
Throt13596	K14662
Throt13604	K03010
Throt13608	K18162
Throt13612	K02981
Throt13623	K07140
Throt13629	K02348
Throt13632	K07573
Throt13635	K02958
Throt13637	K02969
Throt13643	K02883
Throt13650	K02932
Throt13656	K09272
Throt13679	K17808
Throt13682	K05868
Throt13688	K02831
Throt13689	K06287
Throt13715	K08823
Throt13716	K01883
Throt13720	K01958
Throt13724	K03456
Throt13756	K14401
Throt13770	K10436
Throt13790	K03240
Throt13799	K01265
Throt13805	K10643
Throt13815	K06390
Throt13819	K00981
Throt13821	K00981
Throt13824	K12737
Throt13837	K06062
Throt13838	K06062
Throt13844	K06066
Throt13847	K01251
Throt13853	K01867
Throt13859	K02980
Throt13866	K14839
Throt13868	K04615
Throt13871	K00856
Throt13872	K00856
Throt13873	K02872
Throt13876	K02896
Throt13890	K03320
Throt13904	K01062
Throt13905	K06176
Throt13911	K01887
Throt13918	K13411
Throt13919	K12861
Throt13920	K10419
Throt13922	K00804
Throt13925	K03021
Throt13931	K15280
Throt13938	K11320
Throt13970	K10144
Throt13972	K10144
Throt13994	K07305
Throt14001	K15100
Throt14009	K12402
Throt14022	K08850
Throt14037	K00888
Throt14047	K14376
Throt14061	K06678
Throt14077	K03263
Throt14078	K05288
Throt14087	K14799
Throt14098	K01365
Throt14145	K02732
Throt14182	K03660
Throt14206	K02979
Throt14215	K00854
Throt14223	K10885
Throt14228	K02912
Throt14229	K02892
Throt14230	K15113
Throt14231	K10587
Throt14251	K00902
Throt14272	K14549
Throt14273	K12399
Throt14278	K08681
Throt14292	K02917
Throt14308	K01834
Throt14312	K01679
Throt14313	K00472
Throt14314	K07759
Throt14334	K00286
Throt14350	K05868
Throt14351	K05868
Throt14353	K10380
Throt14363	K03108
Throt14376	K02980
Throt14407	K04532
Throt14413	K02976
Throt14414	K02976
Throt14416	K01918
Throt14417	K14837
Throt14439	K02183
Throt14442	K03005
Throt14446	K14859
Throt14451	K13106
Throt14467	K01183
Throt14470	K11684
Throt14475	K07179
Throt14494	K07466
Throt14498	K17804
Throt14516	K01183
Throt14519	K00799
Throt14521	K09494
Throt14530	K02866
Throt14532	K10956
Throt14535	K11835
Throt14536	K02836
Throt14539	K01303
Throt14565	K10808
Throt14574	K00825
Throt14592	K14376
Throt14609	K08794
Throt14612	K02877
Throt14616	K10684
Throt14617	K10684
Throt14620	K02183
Throt14636	K14347
Throt14653	K15175
Throt14656	K01698
Throt14657	K12846
Throt14658	K15272
Throt14664	K07376
Throt14665	K01948
Throt14672	K00573
Throt14677	K05673
Throt14679	K01529
Throt14680	K14050
Throt14683	K11826
Throt14703	K03178
Throt14716	K13138
Throt14720	K12613
Throt14721	K12386
Throt14737	K07304
Throt14774	K03256
Throt14799	K06638
Throt14800	K10364
Throt14836	K00655
Throt14839	K15223
Throt14849	K17989
Throt14855	K01336
Throt14860	K05595
Throt14869	K13509
Throt14902	K00451
Throt14916	K15900
Throt14924	K17985
Throt14925	K17985
Throt14934	K10848
Throt14935	K10848
Throt14936	K10848
Throt14956	K17616
Throt14959	K10251
Throt14978	K01014
Throt14985	K11251
Throt14995	K07359
Throt15010	K03022
Throt15013	K15430
Throt15021	K00850
Throt15027	K09529
Throt15029	K12307
Throt15030	K11886
Throt15031	K11886
Throt15032	K00913
Throt15035	K06171
Throt15074	K00357
Throt15089	K15542
Throt15091	K11662
Throt15103	K03143
Throt15107	K01734
Throt15108	K01734
Throt15114	K11274
Throt15122	K13184
Throt15124	K14400
Throt15133	K17500
Throt15162	K13339
Throt15169	K15279
Throt15172	K13697
Throt15176	K00861
Throt15183	K03320
Throt15199	K01278
Throt15200	K01649
Throt15204	K01768
Throt15205	K00382
Throt15213	K02355
Throt15236	K11366
Throt15237	K17576
Throt15242	K03350
Throt15256	K14713
Throt15261	K11253
Throt15266	K15728
Throt15268	K15728
Throt15269	K15728
Throt15276	K13207
Throt15285	K13510
Throt15293	K13755
Throt15294	K17973
Throt15304	K15277
Throt15306	K14664
Throt15322	K12847
Throt15326	K01693
Throt15327	K01693
Throt15329	K12190
Throt15338	K12858
Throt15340	K14787
Throt15359	K03650
Throt15362	K09568
Throt15363	K04712
Throt15368	K02877
Throt15373	K12189
Throt15385	K10755
Throt15387	K01315
Throt15409	K12859
Throt15424	K15181
Throt15428	K02865
Throt15442	K00036
Throt15452	K09969
Throt15468	K15429
Throt15469	K07466
Throt15473	K10844
Throt15474	K02984
Throt15475	K12398
Throt15481	K14753
Throt15489	K14997
Throt15492	K17618
Throt15493	K02977
Throt15499	K02321
Throt15518	K03424
Throt15530	K00670
Throt15540	K00868
Throt15567	K05539
Throt15579	K00311
Throt15600	K03639
Throt15606	K00801
Throt15607	K14855
Throt15609	K03002
Throt15621	K01043
Throt15624	K17679
Throt15633	K00799
Throt15640	K09602
Throt15641	K01520
Throt15693	K12620
Throt15696	K13539
Throt15700	K00681
Throt15715	K02940
Throt15718	K15281
Throt15719	K06633
Throt15726	K15449
Throt15742	K03019
Throt15745	K12870
Throt15785	K01802
Throt15795	K16194
Throt15797	K14209
Throt15808	K01456
Throt15809	K17618
Throt15860	K12820
Throt15863	K12600
Throt15864	K08856
Throt15867	K01676
Throt15875	K06158
Throt15880	K13830
Throt15881	K00888
Throt15886	K12798
Throt15894	K00940
Throt15936	K14846
Throt15946	K00222
Throt15964	K15264
Throt15967	K02884
Throt15977	K14574
Throt16000	K13993
Throt16020	K17583
Throt16037	K03539
Throt16046	K12852
Throt16060	K09539
Throt16062	K05658
Throt16067	K10807
Throt16068	K11717
Throt16071	K14793
Throt16076	K06126
Throt16078	K14963
Throt16086	K01733
Throt16091	K00297
Throt16096	K09595
Throt16114	K08342
Throt16116	K01265
Throt16130	K08486
Throt16134	K02985
Throt16140	K11976
Throt16141	K11976
Throt16142	K11976
Throt16150	K00889
Throt16151	K04773
Throt16153	K00799
Throt16161	K10706
Throt16162	K10706
Throt16179	K01855
Throt16191	K11718
Throt16197	K14768
Throt16204	K00773
Throt16205	K05954
Throt16216	K05349
Throt16226	K02685
Throt16232	K00729
Throt16250	K11592
Throt16251	K03685
Throt16264	K02367
Throt16277	K14834
Throt16285	K02882
Throt16290	K00254
Throt16293	K00798
Throt16295	K12734
Throt16296	K04799
Throt16301	K03403
Throt16308	K08851
Throt16309	K02937
Throt16312	K12188
Throt16329	K04457
Throt16338	K05592
Throt16352	K07300
Throt16357	K14545
Throt16359	K12160
Throt16401	K10085
Throt16413	K17618
Throt16427	K13050
Throt16428	K03233
Throt16440	K05685
Throt16451	K11858
Throt16452	K11858
Throt16453	K11858
Throt16467	K05956
Throt16478	K01772
Throt16484	K15105
Throt16492	K05609
Throt16497	K12599
Throt16512	K14399
Throt16513	K03626
Throt16518	K11252
Throt16522	K01506
Throt16531	K05542
Throt16539	K01253
Throt16542	K00002
Throt16543	K00002
Throt16544	K01130
Throt16546	K06709
Throt16547	K00486
Throt16548	K00486
Throt16552	K01972
Throt16555	K05658
Throt16563	K00721
Throt16564	K03848
Throt16567	K10773
Throt16568	K14404
Throt16571	K12606
Throt16572	K11166
Throt16581	K15463
Throt16611	K00849
Throt16621	K00894
Throt16632	K12489
Throt16682	K01725
Throt16697	K12191
Throt16699	K00726
Throt16703	K14863
Throt16707	K01412
Throt16711	K00799
Throt16714	K01696
Throt16718	K08498
Throt16723	K01969
Throt16726	K00387
Throt16740	K01410
Throt16746	K02327
Throt16757	K00059
Throt16759	K07238
Throt16767	K00208
Throt16768	K00208
Throt16769	K00208
Throt16772	K01262
Throt16779	K15441
Throt16783	K12619
Throt16786	K13102
Throt16796	K01810
Throt16801	K09838
Throt16815	K01512
Throt16817	K00218
Throt16821	K00993
Throt16823	K06942
Throt16838	K03263
Throt16854	K02210
Throt16867	K00789
Throt16886	K01404
Throt16889	K15287
Throt16890	K06100
Throt16906	K15030
Throt16915	K14779
Throt16927	K00938
Throt16937	K00858
Throt16939	K01027
Throt16964	K02991
Throt16970	K08333
Throt16974	K02901
Throt16984	K14536
Throt16991	K06883
Throt16999	K10706
Throt17021	K02258
Throt17023	K06889
Throt17025	K14557
Throt17029	K00061
Throt17045	K00750
Throt17048	K15015
Throt17059	K15277
Throt17065	K02894
Throt17066	K08737
Throt17075	K05307
Throt17093	K06942
Throt17105	K01092
Throt17113	K12874
Throt17120	K02551
Throt17125	K14820
Throt17137	K09291
Throt17138	K09291
Throt17148	K00889
Throt17163	K13099
Throt17165	K01061
Throt17180	K10483
Throt17181	K03564
Throt17189	K00655
Throt17191	K01854
Throt17220	K00025
Throt17240	K11839
Throt17253	K07375
Throt17254	K07375
Throt17260	K12825
Throt17280	K07456
Throt17286	K05605
Throt17295	K09140
Throt17298	K12611
Throt17301	K15216
Throt17320	K00737
Throt17330	K17637
Throt17333	K12589
Throt17347	K12816
Throt17352	K03439
Throt17357	K02889
Throt17370	K10680
Throt17399	K00809
Throt17403	K03353
Throt17409	K00472
Throt17442	K01120
Throt17445	K02941
Throt17451	K10589
Throt17461	K03155
Throt17469	K10751
Throt17474	K01520
Throt17475	K01520
Throt17481	K15414
Throt17482	K14312
Throt17492	K11434
Throt17497	K01669
Throt17502	K13354
Throt17505	K14771
Throt17551	K10746
Throt17553	K08496
Throt17563	K13206
Throt17566	K03676
Throt17576	K00624
Throt17593	K01937
Throt17597	K07238
Throt17607	K11155
Throt17627	K02183
Throt17638	K02603
Throt17639	K02951
Throt17641	K03679
Throt17652	K15456
Throt17653	K10777
Throt17661	K11423
Throt17681	K03574
Throt17691	K15455
Throt17698	K06955
Throt17699	K17900
Throt17708	K01599
Throt17713	K01735
Throt17716	K13220
Throt17719	K09969
Throt17723	K00928
Throt17724	K00928
Throt17729	K06133
Throt17730	K10845
Throt17741	K01738
Throt17747	K15452
Throt17768	K11498
Throt17780	K12864
Throt17781	K12864
Throt17784	K00472
Throt17796	K09907
Throt17816	K01900
Throt17818	K11517
Throt17834	K11293
Throt17835	K13116
Throt17836	K06944
Throt17837	K06944
Throt17846	K03023
Throt17874	K14558
Throt17875	K09394
Throt17884	K16075
Throt17889	K13998
Throt17899	K07119
Throt17919	K08916
Throt17944	K15153
Throt17947	K17907
Throt17950	K08869
Throt17959	K10427
Throt17970	K00888
Throt17981	K12733
Throt17985	K03217
Throt17986	K12347
Throt17988	K09765
Throt17998	K01262
Throt18003	K07393
Throt18017	K03165
Throt18019	K03165
Throt18021	K03798
Throt18056	K03797
Throt18069	K07808
Throt18080	K17360
Throt18090	K11270
Throt18091	K01598
Throt18092	K01598
Throt18095	K14402
Throt18109	K00599
Throt18117	K01166
Throt18146	K03885
Throt18152	K00640
Throt18175	K15255
Throt18178	K01814
Throt18180	K03859
Throt18185	K07943
Throt18186	K07943
Throt18190	K01007
Throt18197	K12396
Throt18203	K03424
Throt18216	K10688
Throt18228	K01578
Throt18229	K03596
Throt18247	K14950
Throt18251	K02231
Throt18256	K15085
Throt18258	K02324
Throt18268	K05546
Throt18291	K04460
Throt18311	K17839
Throt18312	K17839
Throt18330	K01488
Throt18345	K16056
Throt18346	K03355
Throt18356	K06158
Throt18370	K00833
Throt18398	K15284
Throt18400	K03754
Throt18410	K01802
Throt18423	K00077
Throt18437	K16196
Throt18446	K01925
Throt18453	K10365
Throt18461	K13354
Throt18466	K13093
Throt18470	K00823
Throt18479	K02735
Throt18483	K03470
Throt18485	K03470
Throt18498	K00888
Throt18514	K17681
Throt18515	K00383
Throt18534	K08057
Throt18539	K16569
Throt18576	K05290
Throt18582	K01750
Throt18584	K12818
Throt18591	K11728
Throt18606	K17065
Throt18607	K17586
Throt18611	K00767
Throt18627	K01835
Throt18638	K13960
Throt18658	K14696
Throt18660	K01115
Throt18668	K05542
Throt18687	K11254
Throt18689	K11254
Throt18691	K01889
Throt18696	K00763
Throt18697	K00763
Throt18699	K16329
Throt18700	K02891
Throt18712	K14864
Throt18724	K09680
Throt18725	K09680
Throt18734	K11422
Throt18739	K10870
Throt18745	K13336
Throt18760	K07560
Throt18762	K00791
Throt18763	K00791
Throt18764	K00791
Throt18770	K01488
Throt18773	K14819
Throt18778	K14521
Throt18780	K12479
Throt18787	K10747
Throt18794	K11254
Throt18806	K14786
Throt18807	K14786
Throt18809	K02132
Throt18811	K10523
Throt18815	K07376
Throt18821	K08716
Throt18828	K10773
Throt18832	K15032
Throt18833	K01823
Throt18842	K13754
Throt18843	K05857
Throt18851	K10394
Throt18871	K00599
Throt18891	K15275
Throt18918	K02520
Throt18920	K02520
Throt18928	K15287
Throt18938	K13289
Throt18946	K05539
Throt18955	K14610
Throt18976	K03142
Throt18977	K07441
Throt18979	K06653
Throt18988	K06180
Throt18997	K13111
Throt18998	K13111
Throt19001	K10756
Throt19002	K08770
Throt19008	K15032
Throt19036	K00731
Throt19040	K03232
Throt19051	K12662
Throt19053	K13412
Throt19064	K05544
Throt19068	K02943
Throt19069	K15305
Throt19075	K01807
Throt19077	K17619
Throt19084	K03844
Throt19105	K11430
Throt19114	K06885
Throt19160	K10738
Throt19162	K06287
Throt19188	K02533
Throt19196	K14554
Throt19197	K14677
Throt19226	K05542
Throt19227	K02993
Throt19230	K03283
Throt19234	K11329
Throt19242	K00861
Throt19249	K02693
Throt19267	K02905
Throt19270	K00606
Throt19287	K02960
