New Seq Name	Old Seq Name	Description
Skcos8518	CAMNT_0000257639	CAMNT_0000257639 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2189 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1818
Skcos8519	CAMNT_0000257641	CAMNT_0000257641 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2190 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1107
Skcos8520	CAMNT_0000257781	CAMNT_0000257781 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2260 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2721
Skcos8521	CAMNT_0000257363	CAMNT_0000257363 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2051 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1441
Skcos8522	CAMNT_0000257365	CAMNT_0000257365 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2052 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1170
Skcos8523	CAMNT_0000257583	CAMNT_0000257583 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2161 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=553
Skcos8524	CAMNT_0000257731	CAMNT_0000257731 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2235 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1006
Skcos8525	CAMNT_0000257727	CAMNT_0000257727 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2233 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2139
Skcos8526	CAMNT_0000257733	CAMNT_0000257733 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2236 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1364
Skcos8527	CAMNT_0000257735	CAMNT_0000257735 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2237 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1078
Skcos8528	CAMNT_0000257319	CAMNT_0000257319 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2029 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1840
Skcos8529	CAMNT_0000257321	CAMNT_0000257321 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2030 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1235
Skcos8530	CAMNT_0000257313	CAMNT_0000257313 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2026 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1243
Skcos8531	CAMNT_0000258635	CAMNT_0000258635 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2687 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=4782
Skcos8532	CAMNT_0000258649	CAMNT_0000258649 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2694 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=605
Skcos8533	CAMNT_0000258683	CAMNT_0000258683 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2711 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=620
Skcos8534	CAMNT_0000257953	CAMNT_0000257953 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2346 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1545
Skcos8535	CAMNT_0000257955	CAMNT_0000257955 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2347 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1653
Skcos8536	CAMNT_0000257959	CAMNT_0000257959 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2349 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1177
Skcos8537	CAMNT_0000257961	CAMNT_0000257961 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2350 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2214
Skcos8538	CAMNT_0000258063	CAMNT_0000258063 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2401 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=3464
Skcos8539	CAMNT_0000258065	CAMNT_0000258065 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2402 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1867
Skcos8540	CAMNT_0000258069	CAMNT_0000258069 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2404 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1091
Skcos8541	CAMNT_0000258199	CAMNT_0000258199 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2469 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=981
Skcos8542	CAMNT_0000258479	CAMNT_0000258479 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2609 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1863
Skcos8543	CAMNT_0000258483	CAMNT_0000258483 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2611 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1282
Skcos8544	CAMNT_0000258487	CAMNT_0000258487 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2613 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=168
Skcos8545	CAMNT_0000258489	CAMNT_0000258489 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2614 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=793
Skcos8546	CAMNT_0000258615	CAMNT_0000258615 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2677 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2610
Skcos8547	CAMNT_0000258621	CAMNT_0000258621 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2680 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1573
Skcos8548	CAMNT_0000258733	CAMNT_0000258733 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2736 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1807
Skcos8549	CAMNT_0000258673	CAMNT_0000258673 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2706 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1071
Skcos8550	CAMNT_0000258675	CAMNT_0000258675 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2707 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2341
Skcos8551	CAMNT_0000258273	CAMNT_0000258273 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2506 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=3864
Skcos8552	CAMNT_0000258277	CAMNT_0000258277 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2508 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2031
Skcos8553	CAMNT_0000258413	CAMNT_0000258413 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2576 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2442
Skcos8554	CAMNT_0000258415	CAMNT_0000258415 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2577 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1359
Skcos8555	CAMNT_0000258417	CAMNT_0000258417 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2578 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2358
Skcos8556	CAMNT_0000259147	CAMNT_0000259147 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2943 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2018
Skcos8557	CAMNT_0000259151	CAMNT_0000259151 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2945 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=480
Skcos8558	CAMNT_0000259153	CAMNT_0000259153 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2946 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=344
Skcos8559	CAMNT_0000260011	CAMNT_0000260011 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3375 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=492
Skcos8560	CAMNT_0000260027	CAMNT_0000260027 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3383 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=778
Skcos8561	CAMNT_0000260051	CAMNT_0000260051 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3395 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=395
Skcos8562	CAMNT_0000260067	CAMNT_0000260067 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3403 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=411
Skcos8563	CAMNT_0000260069	CAMNT_0000260069 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3404 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=5111
Skcos8564	CAMNT_0000260075	CAMNT_0000260075 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3407 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=559
Skcos8565	CAMNT_0000260079	CAMNT_0000260079 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3409 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=248
Skcos8566	CAMNT_0000258765	CAMNT_0000258765 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2752 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1311
Skcos8567	CAMNT_0000258925	CAMNT_0000258925 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2832 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2492
Skcos8568	CAMNT_0000258927	CAMNT_0000258927 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2833 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1896
Skcos8569	CAMNT_0000259055	CAMNT_0000259055 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2897 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2378
Skcos8570	CAMNT_0000259057	CAMNT_0000259057 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2898 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1118
Skcos8571	CAMNT_0000259063	CAMNT_0000259063 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2901 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=150
Skcos8572	CAMNT_0000259065	CAMNT_0000259065 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2902 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1539
Skcos8573	CAMNT_0000259227	CAMNT_0000259227 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2983 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1548
Skcos8574	CAMNT_0000259229	CAMNT_0000259229 /NCGR_SEQ_ID=MMETSP0013_2-20120614|2984 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=340
Skcos8575	CAMNT_0000259639	CAMNT_0000259639 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3189 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2730
Skcos8576	CAMNT_0000259763	CAMNT_0000259763 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3251 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2533
Skcos8577	CAMNT_0000259765	CAMNT_0000259765 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3252 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1659
Skcos8578	CAMNT_0000259769	CAMNT_0000259769 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3254 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1623
Skcos8579	CAMNT_0000259355	CAMNT_0000259355 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3047 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2566
Skcos8580	CAMNT_0000259361	CAMNT_0000259361 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3050 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2200
Skcos8581	CAMNT_0000259363	CAMNT_0000259363 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3051 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1286
Skcos8582	CAMNT_0000259585	CAMNT_0000259585 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3162 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=3937
Skcos8583	CAMNT_0000259719	CAMNT_0000259719 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3229 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1123
Skcos8584	CAMNT_0000259721	CAMNT_0000259721 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3230 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1590
Skcos8585	CAMNT_0000259715	CAMNT_0000259715 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3227 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1800
Skcos8586	CAMNT_0000259723	CAMNT_0000259723 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3231 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1997
Skcos8587	CAMNT_0000259319	CAMNT_0000259319 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3029 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=875
Skcos8588	CAMNT_0000260171	CAMNT_0000260171 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3455 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2844
Skcos8589	CAMNT_0000260175	CAMNT_0000260175 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3457 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2325
Skcos8590	CAMNT_0000260177	CAMNT_0000260177 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3458 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1603
Skcos8591	CAMNT_0000259973	CAMNT_0000259973 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3356 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=3444
Skcos8592	CAMNT_0000259969	CAMNT_0000259969 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3354 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1024
Skcos8593	CAMNT_0000260101	CAMNT_0000260101 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3420 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1322
Skcos8594	CAMNT_0000260105	CAMNT_0000260105 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3422 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1104
Skcos8595	CAMNT_0000260241	CAMNT_0000260241 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3490 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1265
Skcos8596	CAMNT_0000260247	CAMNT_0000260247 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3493 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=653
Skcos8597	CAMNT_0000260755	CAMNT_0000260755 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3747 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1243
Skcos8598	CAMNT_0000260757	CAMNT_0000260757 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3748 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2383
Skcos8599	CAMNT_0000260373	CAMNT_0000260373 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3556 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2047
Skcos8600	CAMNT_0000260375	CAMNT_0000260375 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3557 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2549
Skcos8601	CAMNT_0000260377	CAMNT_0000260377 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3558 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=408
Skcos8602	CAMNT_0000260381	CAMNT_0000260381 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3560 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1130
Skcos8603	CAMNT_0000260501	CAMNT_0000260501 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3620 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=742
Skcos8604	CAMNT_0000260717	CAMNT_0000260717 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3728 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2648
Skcos8605	CAMNT_0000260719	CAMNT_0000260719 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3729 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2422
Skcos8606	CAMNT_0000260715	CAMNT_0000260715 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3727 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=999
Skcos8607	CAMNT_0000260337	CAMNT_0000260337 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3538 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=3303
Skcos8608	CAMNT_0000260339	CAMNT_0000260339 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3539 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1563
Skcos8609	CAMNT_0000260341	CAMNT_0000260341 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3540 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1253
Skcos8610	CAMNT_0000260449	CAMNT_0000260449 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3594 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=3286
Skcos8611	CAMNT_0000261139	CAMNT_0000261139 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3939 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1368
Skcos8612	CAMNT_0000261145	CAMNT_0000261145 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3942 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1953
Skcos8613	CAMNT_0000261149	CAMNT_0000261149 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3944 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1324
Skcos8614	CAMNT_0000261151	CAMNT_0000261151 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3945 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=937
Skcos8615	CAMNT_0000261249	CAMNT_0000261249 /NCGR_SEQ_ID=MMETSP0013_2-20120614|3994 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=3244
Skcos8616	CAMNT_0000261261	CAMNT_0000261261 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4000 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1378
Skcos8617	CAMNT_0000261293	CAMNT_0000261293 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4016 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=670
Skcos8618	CAMNT_0000261393	CAMNT_0000261393 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4066 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=3113
Skcos8619	CAMNT_0000261515	CAMNT_0000261515 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4127 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2714
Skcos8620	CAMNT_0000261517	CAMNT_0000261517 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4128 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2388
Skcos8621	CAMNT_0000261633	CAMNT_0000261633 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4186 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2304
Skcos8622	CAMNT_0000261637	CAMNT_0000261637 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4188 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2447
Skcos8623	CAMNT_0000261745	CAMNT_0000261745 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4242 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=676
Skcos8624	CAMNT_0000261747	CAMNT_0000261747 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4243 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=4456
Skcos8625	CAMNT_0000261753	CAMNT_0000261753 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4246 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=8373
Skcos8626	CAMNT_0000261781	CAMNT_0000261781 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4260 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=908
Skcos8627	CAMNT_0000261803	CAMNT_0000261803 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4271 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=167
Skcos8628	CAMNT_0000261805	CAMNT_0000261805 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4272 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=204
Skcos8629	CAMNT_0000261807	CAMNT_0000261807 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4273 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=163
Skcos8630	CAMNT_0000261761	CAMNT_0000261761 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4250 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2732
Skcos8631	CAMNT_0000261763	CAMNT_0000261763 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4251 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1175
Skcos8632	CAMNT_0000261765	CAMNT_0000261765 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4252 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=839
Skcos8633	CAMNT_0000261875	CAMNT_0000261875 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4307 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1964
Skcos8634	CAMNT_0000261877	CAMNT_0000261877 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4308 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1211
Skcos8635	CAMNT_0000261879	CAMNT_0000261879 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4309 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=3294
Skcos8636	CAMNT_0000262089	CAMNT_0000262089 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4414 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2391
Skcos8637	CAMNT_0000262093	CAMNT_0000262093 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4416 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=810
Skcos8638	CAMNT_0000261703	CAMNT_0000261703 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4221 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1895
Skcos8639	CAMNT_0000261705	CAMNT_0000261705 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4222 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2720
Skcos8640	CAMNT_0000261707	CAMNT_0000261707 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4223 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1472
Skcos8641	CAMNT_0000261837	CAMNT_0000261837 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4288 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=3506
Skcos8642	CAMNT_0000261971	CAMNT_0000261971 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4355 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1447
Skcos8643	CAMNT_0000262503	CAMNT_0000262503 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4621 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1963
Skcos8644	CAMNT_0000262641	CAMNT_0000262641 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4690 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1584
Skcos8645	CAMNT_0000262645	CAMNT_0000262645 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4692 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1104
Skcos8646	CAMNT_0000262649	CAMNT_0000262649 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4694 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2310
Skcos8647	CAMNT_0000262651	CAMNT_0000262651 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4695 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1370
Skcos8648	CAMNT_0000262667	CAMNT_0000262667 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4703 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=5800
Skcos8649	CAMNT_0000262543	CAMNT_0000262543 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4641 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1279
Skcos8650	CAMNT_0000262673	CAMNT_0000262673 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4706 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=3093
Skcos8651	CAMNT_0000262675	CAMNT_0000262675 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4707 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1467
Skcos8652	CAMNT_0000263125	CAMNT_0000263125 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4932 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2408
Skcos8653	CAMNT_0000263127	CAMNT_0000263127 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4933 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1574
Skcos8654	CAMNT_0000262745	CAMNT_0000262745 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4742 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=3537
Skcos8655	CAMNT_0000262747	CAMNT_0000262747 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4743 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2225
Skcos8656	CAMNT_0000262883	CAMNT_0000262883 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4811 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1512
Skcos8657	CAMNT_0000262887	CAMNT_0000262887 /NCGR_SEQ_ID=MMETSP0013_2-20120614|4813 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2202
